description	biosample	sra	organism	host	date	location	   elevation	lat_lon
IRI_318_rbcL	SAMD00104957	DRS070372	rhizosphere metagenome	Bridelia	2010-06	Iriomote	50	24.407 123.799
IRI_319_rbcL	SAMD00104958	DRS070373	rhizosphere metagenome	Diospyros_1	2010-06	Iriomote	50	24.407 123.799
IRI_320_rbcL	SAMD00104959	DRS070374	rhizosphere metagenome	Symplocos_4	2010-06	Iriomote	50	24.407 123.799
IRI_321_rbcL	SAMD00104960	DRS070375	rhizosphere metagenome	Rubiaceae_1	2010-06	Iriomote	50	24.407 123.799
IRI_322_rbcL	SAMD00104961	DRS070376	rhizosphere metagenome	Toxicodendron_1	2010-06	Iriomote	50	24.407 123.799
IRI_323_rbcL	SAMD00104962	DRS070377	rhizosphere metagenome	Freycinetia	2010-06	Iriomote	50	24.407 123.799
IRI_324_rbcL	SAMD00104963	DRS070378	rhizosphere metagenome	Clematis	2010-06	Iriomote	50	24.407 123.799
IRI_325_rbcL	SAMD00104964	DRS070379	rhizosphere metagenome	Ficus	2010-06	Iriomote	50	24.407 123.799
IRI_326_rbcL	SAMD00104965	DRS070380	rhizosphere metagenome	missing	2010-06	Iriomote	50	24.407 123.799
IRI_327_rbcL	SAMD00104966	DRS070381	rhizosphere metagenome	Freycinetia	2010-06	Iriomote	50	24.407 123.799
IRI_328_rbcL	SAMD00104967	DRS070382	rhizosphere metagenome	Ardisia	2010-06	Iriomote	50	24.407 123.799
IRI_329_rbcL	SAMD00104968	DRS070383	rhizosphere metagenome	missing	2010-06	Iriomote	50	24.407 123.799
IRI_330_rbcL	SAMD00104969	DRS070384	rhizosphere metagenome	Ficus	2010-06	Iriomote	50	24.407 123.799
IRI_331_rbcL	SAMD00104970	DRS070385	rhizosphere metagenome	Diospyros_1	2010-06	Iriomote	50	24.407 123.799
IRI_332_rbcL	SAMD00104971	DRS070386	rhizosphere metagenome	Ilex_1	2010-06	Iriomote	50	24.407 123.799
IRI_333_rbcL	SAMD00104972	DRS070387	rhizosphere metagenome	missing	2010-06	Iriomote	50	24.407 123.799
IRI_334_rbcL	SAMD00104973	DRS070388	rhizosphere metagenome	Bridelia	2010-06	Iriomote	50	24.407 123.799
IRI_335_rbcL	SAMD00104974	DRS070389	rhizosphere metagenome	Toxicodendron_1	2010-06	Iriomote	50	24.407 123.799
IRI_336_rbcL	SAMD00104975	DRS070390	rhizosphere metagenome	Freycinetia	2010-06	Iriomote	50	24.407 123.799
IRI_337_rbcL	SAMD00104976	DRS070391	rhizosphere metagenome	Glochidion	2010-06	Iriomote	50	24.407 123.799
IRI_338_rbcL	SAMD00104977	DRS070392	rhizosphere metagenome	missing	2010-06	Iriomote	50	24.407 123.799
IRI_339_rbcL	SAMD00104978	DRS070393	rhizosphere metagenome	Freycinetia	2010-06	Iriomote	50	24.407 123.799
IRI_340_rbcL	SAMD00104979	DRS070394	rhizosphere metagenome	Ilex_2	2010-06	Iriomote	50	24.407 123.799
IRI_341_rbcL	SAMD00104980	DRS070395	rhizosphere metagenome	Toxicodendron_1	2010-06	Iriomote	50	24.407 123.799
IRI_342_rbcL	SAMD00104981	DRS070396	rhizosphere metagenome	Smilax_1	2010-06	Iriomote	50	24.407 123.799
IRI_343_rbcL	SAMD00104982	DRS070397	rhizosphere metagenome	Toxicodendron_1	2010-06	Iriomote	50	24.407 123.799
IRI_282_ITS	SAMD00102313	DRS067728	rhizosphere metagenome	Machilus	2010-06	Iriomote	50	24.407 123.799
IRI_283_ITS	SAMD00102314	DRS067729	rhizosphere metagenome	Arecaceae	2010-06	Iriomote	50	24.407 123.799
IRI_284_ITS	SAMD00102315	DRS067730	rhizosphere metagenome	missing	2010-06	Iriomote	50	24.407 123.799
IRI_285_ITS	SAMD00102316	DRS067731	rhizosphere metagenome	Arecaceae	2010-06	Iriomote	50	24.407 123.799
IRI_286_ITS	SAMD00102317	DRS067732	rhizosphere metagenome	Pentaphylacaceae_2	2010-06	Iriomote	50	24.407 123.799
IRI_288_ITS	SAMD00102318	DRS067733	rhizosphere metagenome	Machilus	2010-06	Iriomote	50	24.407 123.799
IRI_289_ITS	SAMD00102319	DRS067734	rhizosphere metagenome	Smilax_1	2010-06	Iriomote	50	24.407 123.799
IRI_290_ITS	SAMD00102320	DRS067735	rhizosphere metagenome	Arecaceae	2010-06	Iriomote	50	24.407 123.799
IRI_291_ITS	SAMD00102321	DRS067736	rhizosphere metagenome	Machilus	2010-06	Iriomote	50	24.407 123.799
IRI_292_ITS	SAMD00102322	DRS067737	rhizosphere metagenome	Elaeocarpus_1	2010-06	Iriomote	50	24.407 123.799
IRI_293_ITS	SAMD00102323	DRS067738	rhizosphere metagenome	Ilex_2	2010-06	Iriomote	50	24.407 123.799
IRI_294_ITS	SAMD00102324	DRS067739	rhizosphere metagenome	missing	2010-06	Iriomote	50	24.407 123.799
IRI_295_ITS	SAMD00102325	DRS067740	rhizosphere metagenome	Elaeocarpus_1	2010-06	Iriomote	50	24.407 123.799
IRI_296_ITS	SAMD00102326	DRS067741	rhizosphere metagenome	Diospyros_1	2010-06	Iriomote	50	24.407 123.799
IRI_297_ITS	SAMD00102327	DRS067742	rhizosphere metagenome	Pinus	2010-06	Iriomote	50	24.407 123.799
IRI_298_ITS	SAMD00102328	DRS067743	rhizosphere metagenome	Poaceae_6	2010-06	Iriomote	50	24.407 123.799
IRI_299_ITS	SAMD00102329	DRS067744	rhizosphere metagenome	Machilus	2010-06	Iriomote	50	24.407 123.799
IRI_300_ITS	SAMD00102330	DRS067745	rhizosphere metagenome	Staphyleaceae	2010-06	Iriomote	50	24.407 123.799
IRI_301_ITS	SAMD00102331	DRS067746	rhizosphere metagenome	Daphniphyllum	2010-06	Iriomote	50	24.407 123.799
IRI_302_ITS	SAMD00102332	DRS067747	rhizosphere metagenome	Daphniphyllum	2010-06	Iriomote	50	24.407 123.799
IRI_303_ITS	SAMD00102333	DRS067748	rhizosphere metagenome	Daphniphyllum	2010-06	Iriomote	50	24.407 123.799
IRI_304_ITS	SAMD00102334	DRS067749	rhizosphere metagenome	Poaceae_6	2010-06	Iriomote	50	24.407 123.799
IRI_305_ITS	SAMD00102335	DRS067750	rhizosphere metagenome	Magnoliaceae_2	2010-06	Iriomote	50	24.407 123.799
IRI_306_ITS	SAMD00102336	DRS067751	rhizosphere metagenome	Bridelia	2010-06	Iriomote	50	24.407 123.799
IRI_307_ITS	SAMD00102337	DRS067752	rhizosphere metagenome	Diospyros_1	2010-06	Iriomote	50	24.407 123.799
IRI_308_ITS	SAMD00102338	DRS067753	rhizosphere metagenome	Diospyros_1	2010-06	Iriomote	50	24.407 123.799
IRI_309_ITS	SAMD00102339	DRS067754	rhizosphere metagenome	Diospyros_1	2010-06	Iriomote	50	24.407 123.799
IRI_310_ITS	SAMD00102340	DRS067755	rhizosphere metagenome	Pentaphylacaceae_3	2010-06	Iriomote	50	24.407 123.799
IRI_311_ITS	SAMD00102341	DRS067756	rhizosphere metagenome	Bridelia	2010-06	Iriomote	50	24.407 123.799
IRI_312_ITS	SAMD00102342	DRS067757	rhizosphere metagenome	Staphyleaceae	2010-06	Iriomote	50	24.407 123.799
IRI_313_ITS	SAMD00102343	DRS067758	rhizosphere metagenome	missing	2010-06	Iriomote	50	24.407 123.799
IRI_282_rbcL	SAMD00104924	DRS070339	rhizosphere metagenome	Machilus	2010-06	Iriomote	50	24.407 123.799
IRI_283_rbcL	SAMD00104925	DRS070340	rhizosphere metagenome	Arecaceae	2010-06	Iriomote	50	24.407 123.799
IRI_285_rbcL	SAMD00104926	DRS070341	rhizosphere metagenome	Arecaceae	2010-06	Iriomote	50	24.407 123.799
IRI_286_rbcL	SAMD00104927	DRS070342	rhizosphere metagenome	Pentaphylacaceae_2	2010-06	Iriomote	50	24.407 123.799
IRI_288_rbcL	SAMD00104928	DRS070343	rhizosphere metagenome	Machilus	2010-06	Iriomote	50	24.407 123.799
IRI_289_rbcL	SAMD00104929	DRS070344	rhizosphere metagenome	Smilax_1	2010-06	Iriomote	50	24.407 123.799
IRI_290_rbcL	SAMD00104930	DRS070345	rhizosphere metagenome	Arecaceae	2010-06	Iriomote	50	24.407 123.799
IRI_291_rbcL	SAMD00104931	DRS070346	rhizosphere metagenome	Machilus	2010-06	Iriomote	50	24.407 123.799
IRI_292_rbcL	SAMD00104932	DRS070347	rhizosphere metagenome	Elaeocarpus_1	2010-06	Iriomote	50	24.407 123.799
IRI_293_rbcL	SAMD00104933	DRS070348	rhizosphere metagenome	Ilex_2	2010-06	Iriomote	50	24.407 123.799
IRI_294_rbcL	SAMD00104934	DRS070349	rhizosphere metagenome	missing	2010-06	Iriomote	50	24.407 123.799
IRI_295_rbcL	SAMD00104935	DRS070350	rhizosphere metagenome	Elaeocarpus_1	2010-06	Iriomote	50	24.407 123.799
IRI_296_rbcL	SAMD00104936	DRS070351	rhizosphere metagenome	Diospyros_1	2010-06	Iriomote	50	24.407 123.799
IRI_297_rbcL	SAMD00104937	DRS070352	rhizosphere metagenome	Pinus	2010-06	Iriomote	50	24.407 123.799
IRI_298_rbcL	SAMD00104938	DRS070353	rhizosphere metagenome	Poaceae_6	2010-06	Iriomote	50	24.407 123.799
IRI_299_rbcL	SAMD00104939	DRS070354	rhizosphere metagenome	Machilus	2010-06	Iriomote	50	24.407 123.799
IRI_300_rbcL	SAMD00104940	DRS070355	rhizosphere metagenome	Staphyleaceae	2010-06	Iriomote	50	24.407 123.799
IRI_301_rbcL	SAMD00104941	DRS070356	rhizosphere metagenome	Daphniphyllum	2010-06	Iriomote	50	24.407 123.799
IRI_302_rbcL	SAMD00104942	DRS070357	rhizosphere metagenome	Daphniphyllum	2010-06	Iriomote	50	24.407 123.799
IRI_303_rbcL	SAMD00104943	DRS070358	rhizosphere metagenome	Daphniphyllum	2010-06	Iriomote	50	24.407 123.799
IRI_304_rbcL	SAMD00104944	DRS070359	rhizosphere metagenome	Poaceae_6	2010-06	Iriomote	50	24.407 123.799
IRI_305_rbcL	SAMD00104945	DRS070360	rhizosphere metagenome	Magnoliaceae_2	2010-06	Iriomote	50	24.407 123.799
IRI_306_rbcL	SAMD00104946	DRS070361	rhizosphere metagenome	Bridelia	2010-06	Iriomote	50	24.407 123.799
IRI_307_rbcL	SAMD00104947	DRS070362	rhizosphere metagenome	Diospyros_1	2010-06	Iriomote	50	24.407 123.799
IRI_308_rbcL	SAMD00104948	DRS070363	rhizosphere metagenome	Diospyros_1	2010-06	Iriomote	50	24.407 123.799
IRI_309_rbcL	SAMD00104949	DRS070364	rhizosphere metagenome	Diospyros_1	2010-06	Iriomote	50	24.407 123.799
IRI_310_rbcL	SAMD00104950	DRS070365	rhizosphere metagenome	Pentaphylacaceae_3	2010-06	Iriomote	50	24.407 123.799
IRI_311_rbcL	SAMD00104951	DRS070366	rhizosphere metagenome	Bridelia	2010-06	Iriomote	50	24.407 123.799
IRI_312_rbcL	SAMD00104952	DRS070367	rhizosphere metagenome	Staphyleaceae	2010-06	Iriomote	50	24.407 123.799
IRI_250_ITS	SAMD00102281	DRS067696	rhizosphere metagenome	Carex_1	2010-06	Iriomote	50	24.407 123.799
IRI_251_ITS	SAMD00102282	DRS067697	rhizosphere metagenome	Mussaenda	2010-06	Iriomote	50	24.407 123.799
IRI_252_ITS	SAMD00102283	DRS067698	rhizosphere metagenome	Ardisia	2010-06	Iriomote	50	24.407 123.799
IRI_253_ITS	SAMD00102284	DRS067699	rhizosphere metagenome	Callicarpa	2010-06	Iriomote	50	24.407 123.799
IRI_254_ITS	SAMD00102285	DRS067700	rhizosphere metagenome	Ficus	2010-06	Iriomote	50	24.407 123.799
IRI_255_ITS	SAMD00102286	DRS067701	rhizosphere metagenome	Toxicodendron_1	2010-06	Iriomote	50	24.407 123.799
IRI_256_ITS	SAMD00102287	DRS067702	rhizosphere metagenome	Elaeocarpus_1	2010-06	Iriomote	50	24.407 123.799
IRI_257_ITS	SAMD00102288	DRS067703	rhizosphere metagenome	Ficus	2010-06	Iriomote	50	24.407 123.799
IRI_258_ITS	SAMD00102289	DRS067704	rhizosphere metagenome	Elaeocarpus_1	2010-06	Iriomote	50	24.407 123.799
IRI_259_ITS	SAMD00102290	DRS067705	rhizosphere metagenome	Callicarpa	2010-06	Iriomote	50	24.407 123.799
IRI_260_ITS	SAMD00102291	DRS067706	rhizosphere metagenome	missing	2010-06	Iriomote	50	24.407 123.799
IRI_261_ITS	SAMD00102292	DRS067707	rhizosphere metagenome	missing	2010-06	Iriomote	50	24.407 123.799
IRI_262_ITS	SAMD00102293	DRS067708	rhizosphere metagenome	Pinus	2010-06	Iriomote	50	24.407 123.799
IRI_263_ITS	SAMD00102294	DRS067708	rhizosphere metagenome	Dicranopteris	2010-06	Iriomote	50	24.407 123.799
IRI_264_ITS	SAMD00102295	DRS067708	rhizosphere metagenome	Mussaenda	2010-06	Iriomote	50	24.407 123.799
IRI_265_ITS	SAMD00102296	DRS067711	rhizosphere metagenome	Psychotria	2010-06	Iriomote	50	24.407 123.799
IRI_266_ITS	SAMD00102297	DRS067712	rhizosphere metagenome	missing	2010-06	Iriomote	50	24.407 123.799
IRI_267_ITS	SAMD00102298	DRS067712	rhizosphere metagenome	missing	2010-06	Iriomote	50	24.407 123.799
IRI_268_ITS	SAMD00102299	DRS067712	rhizosphere metagenome	Machilus	2010-06	Iriomote	50	24.407 123.799
IRI_269_ITS	SAMD00102300	DRS067715	rhizosphere metagenome	Dioscorea_1	2010-06	Iriomote	50	24.407 123.799
IRI_270_ITS	SAMD00102301	DRS067716	rhizosphere metagenome	missing	2010-06	Iriomote	50	24.407 123.799
IRI_271_ITS	SAMD00102302	DRS067717	rhizosphere metagenome	Smilax_1	2010-06	Iriomote	50	24.407 123.799
IRI_272_ITS	SAMD00102303	DRS067718	rhizosphere metagenome	missing	2010-06	Iriomote	50	24.407 123.799
IRI_273_ITS	SAMD00102304	DRS067719	rhizosphere metagenome	Aster	2010-06	Iriomote	50	24.407 123.799
IRI_274_ITS	SAMD00102305	DRS067720	rhizosphere metagenome	missing	2010-06	Iriomote	50	24.407 123.799
IRI_275_ITS	SAMD00102306	DRS067721	rhizosphere metagenome	Machilus	2010-06	Iriomote	50	24.407 123.799
IRI_276_ITS	SAMD00102307	DRS067722	rhizosphere metagenome	Psychotria	2010-06	Iriomote	50	24.407 123.799
IRI_277_ITS	SAMD00102308	DRS067723	rhizosphere metagenome	missing	2010-06	Iriomote	50	24.407 123.799
IRI_278_ITS	SAMD00102309	DRS067724	rhizosphere metagenome	missing	2010-06	Iriomote	50	24.407 123.799
IRI_279_ITS	SAMD00102310	DRS067725	rhizosphere metagenome	Mussaenda	2010-06	Iriomote	50	24.407 123.799
IRI_280_ITS	SAMD00102311	DRS067726	rhizosphere metagenome	Freycinetia	2010-06	Iriomote	50	24.407 123.799
IRI_281_ITS	SAMD00102312	DRS067727	rhizosphere metagenome	Ficus	2010-06	Iriomote	50	24.407 123.799
IRI_250_rbcL	SAMD00104896	DRS067727	rhizosphere metagenome	Carex_1	2010-06	Iriomote	50	24.407 123.799
IRI_251_rbcL	SAMD00104897	DRS067727	rhizosphere metagenome	Mussaenda	2010-06	Iriomote	50	24.407 123.799
IRI_252_rbcL	SAMD00104898	DRS067727	rhizosphere metagenome	Ardisia	2010-06	Iriomote	50	24.407 123.799
IRI_253_rbcL	SAMD00104899	DRS067727	rhizosphere metagenome	Callicarpa	2010-06	Iriomote	50	24.407 123.799
IRI_254_rbcL	SAMD00104900	DRS067727	rhizosphere metagenome	Ficus	2010-06	Iriomote	50	24.407 123.799
IRI_255_rbcL	SAMD00104901	DRS067727	rhizosphere metagenome	Toxicodendron_1	2010-06	Iriomote	50	24.407 123.799
IRI_256_rbcL	SAMD00104902	DRS067727	rhizosphere metagenome	Elaeocarpus_1	2010-06	Iriomote	50	24.407 123.799
IRI_257_rbcL	SAMD00104903	DRS067727	rhizosphere metagenome	Ficus	2010-06	Iriomote	50	24.407 123.799
IRI_258_rbcL	SAMD00104904	DRS067727	rhizosphere metagenome	Elaeocarpus_1	2010-06	Iriomote	50	24.407 123.799
IRI_259_rbcL	SAMD00104905	DRS067727	rhizosphere metagenome	Callicarpa	2010-06	Iriomote	50	24.407 123.799
IRI_261_rbcL	SAMD00104906	DRS067727	rhizosphere metagenome	missing	2010-06	Iriomote	50	24.407 123.799
IRI_262_rbcL	SAMD00104907	DRS067727	rhizosphere metagenome	Pinus	2010-06	Iriomote	50	24.407 123.799
IRI_263_rbcL	SAMD00104908	DRS067727	rhizosphere metagenome	Dicranopteris	2010-06	Iriomote	50	24.407 123.799
IRI_264_rbcL	SAMD00104909	DRS067727	rhizosphere metagenome	Mussaenda	2010-06	Iriomote	50	24.407 123.799
IRI_265_rbcL	SAMD00104910	DRS067727	rhizosphere metagenome	Psychotria	2010-06	Iriomote	50	24.407 123.799
IRI_266_rbcL	SAMD00104911	DRS067727	rhizosphere metagenome	missing	2010-06	Iriomote	50	24.407 123.799
IRI_268_rbcL	SAMD00104912	DRS067727	rhizosphere metagenome	Machilus	2010-06	Iriomote	50	24.407 123.799
IRI_269_rbcL	SAMD00104913	DRS070328	rhizosphere metagenome	Dioscorea_1	2010-06	Iriomote	50	24.407 123.799
IRI_271_rbcL	SAMD00104914	DRS070329	rhizosphere metagenome	Smilax_1	2010-06	Iriomote	50	24.407 123.799
IRI_272_rbcL	SAMD00104915	DRS070330	rhizosphere metagenome	missing	2010-06	Iriomote	50	24.407 123.799
IRI_273_rbcL	SAMD00104916	DRS070331	rhizosphere metagenome	Aster	2010-06	Iriomote	50	24.407 123.799
IRI_275_rbcL	SAMD00104917	DRS070332	rhizosphere metagenome	Machilus	2010-06	Iriomote	50	24.407 123.799
IRI_276_rbcL	SAMD00104918	DRS070333	rhizosphere metagenome	Psychotria	2010-06	Iriomote	50	24.407 123.799
IRI_277_rbcL	SAMD00104919	DRS070334	rhizosphere metagenome	missing	2010-06	Iriomote	50	24.407 123.799
IRI_278_rbcL	SAMD00104920	DRS070335	rhizosphere metagenome	missing	2010-06	Iriomote	50	24.407 123.799
IRI_279_rbcL	SAMD00104921	DRS070336	rhizosphere metagenome	Mussaenda	2010-06	Iriomote	50	24.407 123.799
IRI_280_rbcL	SAMD00104922	DRS070337	rhizosphere metagenome	Freycinetia	2010-06	Iriomote	50	24.407 123.799
IRI_281_rbcL	SAMD00104923	DRS070338	rhizosphere metagenome	Ficus	2010-06	Iriomote	50	24.407 123.799
IRI_240_ITS	SAMD00102271	DRS067686	rhizosphere metagenome	Ilex_3	2010-06	Iriomote	50	24.407 123.799
IRI_241_ITS	SAMD00102272	DRS067687	rhizosphere metagenome	Aster	2010-06	Iriomote	50	24.407 123.799
IRI_242_ITS	SAMD00102273	DRS067688	rhizosphere metagenome	Aster	2010-06	Iriomote	50	24.407 123.799
IRI_243_ITS	SAMD00102274	DRS067689	rhizosphere metagenome	Aster	2010-06	Iriomote	50	24.407 123.799
IRI_244_ITS	SAMD00102275	DRS067690	rhizosphere metagenome	Apocynaceae_1	2010-06	Iriomote	50	24.407 123.799
IRI_245_ITS	SAMD00102276	DRS067691	rhizosphere metagenome	Pinus	2010-06	Iriomote	50	24.407 123.799
IRI_246_ITS	SAMD00102277	DRS067692	rhizosphere metagenome	Pinus	2010-06	Iriomote	50	24.407 123.799
IRI_247_ITS	SAMD00102278	DRS067693	rhizosphere metagenome	Scleria	2010-06	Iriomote	50	24.407 123.799
IRI_248_ITS	SAMD00102279	DRS067694	rhizosphere metagenome	Pinus	2010-06	Iriomote	50	24.407 123.799
IRI_249_ITS	SAMD00102280	DRS067695	rhizosphere metagenome	Scleria	2010-06	Iriomote	50	24.407 123.799
IRI_240_rbcL	SAMD00104886	DRS070301	rhizosphere metagenome	Ilex_3	2010-06	Iriomote	50	24.407 123.799
IRI_241_rbcL	SAMD00104887	DRS070302	rhizosphere metagenome	Aster	2010-06	Iriomote	50	24.407 123.799
IRI_242_rbcL	SAMD00104888	DRS070303	rhizosphere metagenome	Aster	2010-06	Iriomote	50	24.407 123.799
IRI_243_rbcL	SAMD00104889	DRS070304	rhizosphere metagenome	Aster	2010-06	Iriomote	50	24.407 123.799
IRI_244_rbcL	SAMD00104890	DRS070305	rhizosphere metagenome	Apocynaceae_1	2010-06	Iriomote	50	24.407 123.799
IRI_245_rbcL	SAMD00104891	DRS070305	rhizosphere metagenome	Pinus	2010-06	Iriomote	50	24.407 123.799
IRI_246_rbcL	SAMD00104892	DRS070305	rhizosphere metagenome	Pinus	2010-06	Iriomote	50	24.407 123.799
IRI_247_rbcL	SAMD00104893	DRS070305	rhizosphere metagenome	Scleria	2010-06	Iriomote	50	24.407 123.799
IRI_248_rbcL	SAMD00104894	DRS070305	rhizosphere metagenome	Pinus	2010-06	Iriomote	50	24.407 123.799
IRI_249_rbcL	SAMD00104895	DRS070305	rhizosphere metagenome	Scleria	2010-06	Iriomote	50	24.407 123.799
IRI_205_ITS	SAMD00102236	DRS067651	rhizosphere metagenome	missing	2010-06	Iriomote	50	24.407 123.799
IRI_206_ITS	SAMD00102237	DRS067652	rhizosphere metagenome	missing	2010-06	Iriomote	50	24.407 123.799
IRI_207_ITS	SAMD00102238	DRS067653	rhizosphere metagenome	Pinus	2010-06	Iriomote	50	24.407 123.799
IRI_208_ITS	SAMD00102239	DRS067654	rhizosphere metagenome	Pinus	2010-06	Iriomote	50	24.407 123.799
IRI_209_ITS	SAMD00102240	DRS067655	rhizosphere metagenome	Ilex_1	2010-06	Iriomote	50	24.407 123.799
IRI_210_ITS	SAMD00102241	DRS067656	rhizosphere metagenome	Toxicodendron_1	2010-06	Iriomote	50	24.407 123.799
IRI_211_ITS	SAMD00102242	DRS067657	rhizosphere metagenome	Rhododendron	2010-06	Iriomote	50	24.407 123.799
IRI_212_ITS	SAMD00102243	DRS067658	rhizosphere metagenome	Toxicodendron_1	2010-06	Iriomote	50	24.407 123.799
IRI_213_ITS	SAMD00102244	DRS067659	rhizosphere metagenome	missing	2010-06	Iriomote	50	24.407 123.799
IRI_214_ITS	SAMD00102245	DRS067660	rhizosphere metagenome	Pinus	2010-06	Iriomote	50	24.407 123.799
IRI_215_ITS	SAMD00102246	DRS067661	rhizosphere metagenome	Dicranopteris	2010-06	Iriomote	50	24.407 123.799
IRI_216_ITS	SAMD00102247	DRS067662	rhizosphere metagenome	Rhododendron	2010-06	Iriomote	50	24.407 123.799
IRI_217_ITS	SAMD00102248	DRS067663	rhizosphere metagenome	Rhododendron	2010-06	Iriomote	50	24.407 123.799
IRI_218_ITS	SAMD00102249	DRS067664	rhizosphere metagenome	Ilex_1	2010-06	Iriomote	50	24.407 123.799
IRI_219_ITS	SAMD00102250	DRS067665	rhizosphere metagenome	missing	2010-06	Iriomote	50	24.407 123.799
IRI_220_ITS	SAMD00102251	DRS067666	rhizosphere metagenome	Psychotria	2010-06	Iriomote	50	24.407 123.799
IRI_221_ITS	SAMD00102252	DRS067667	rhizosphere metagenome	missing	2010-06	Iriomote	50	24.407 123.799
IRI_222_ITS	SAMD00102253	DRS067668	rhizosphere metagenome	missing	2010-06	Iriomote	50	24.407 123.799
IRI_223_ITS	SAMD00102254	DRS067669	rhizosphere metagenome	Rhododendron	2010-06	Iriomote	50	24.407 123.799
IRI_224_ITS	SAMD00102255	DRS067670	rhizosphere metagenome	missing	2010-06	Iriomote	50	24.407 123.799
IRI_225_ITS	SAMD00102256	DRS067671	rhizosphere metagenome	Rhododendron	2010-06	Iriomote	50	24.407 123.799
IRI_226_ITS	SAMD00102257	DRS067672	rhizosphere metagenome	missing	2010-06	Iriomote	50	24.407 123.799
IRI_227_ITS	SAMD00102258	DRS067673	rhizosphere metagenome	Toxicodendron_1	2010-06	Iriomote	50	24.407 123.799
IRI_228_ITS	SAMD00102259	DRS067674	rhizosphere metagenome	missing	2010-06	Iriomote	50	24.407 123.799
IRI_229_ITS	SAMD00102260	DRS067675	rhizosphere metagenome	Aster	2010-06	Iriomote	50	24.407 123.799
IRI_230_ITS	SAMD00102261	DRS067676	rhizosphere metagenome	missing	2010-06	Iriomote	50	24.407 123.799
IRI_231_ITS	SAMD00102262	DRS067677	rhizosphere metagenome	missing	2010-06	Iriomote	50	24.407 123.799
IRI_232_ITS	SAMD00102263	DRS067678	rhizosphere metagenome	missing	2010-06	Iriomote	50	24.407 123.799
IRI_233_ITS	SAMD00102264	DRS067679	rhizosphere metagenome	missing	2010-06	Iriomote	50	24.407 123.799
IRI_234_ITS	SAMD00102265	DRS067680	rhizosphere metagenome	Aster	2010-06	Iriomote	50	24.407 123.799
IRI_235_ITS	SAMD00102266	DRS067681	rhizosphere metagenome	Rhododendron	2010-06	Iriomote	50	24.407 123.799
IRI_236_ITS	SAMD00102267	DRS067682	rhizosphere metagenome	Toxicodendron_1	2010-06	Iriomote	50	24.407 123.799
IRI_237_ITS	SAMD00102268	DRS067683	rhizosphere metagenome	Toxicodendron_1	2010-06	Iriomote	50	24.407 123.799
IRI_238_ITS	SAMD00102269	DRS067684	rhizosphere metagenome	Rhododendron	2010-06	Iriomote	50	24.407 123.799
IRI_239_ITS	SAMD00102270	DRS067685	rhizosphere metagenome	Toxicodendron_1	2010-06	Iriomote	50	24.407 123.799
IRI_205_rbcL	SAMD00104861	DRS070276	rhizosphere metagenome	missing	2010-06	Iriomote	50	24.407 123.799
IRI_207_rbcL	SAMD00104862	DRS070277	rhizosphere metagenome	Pinus	2010-06	Iriomote	50	24.407 123.799
IRI_208_rbcL	SAMD00104863	DRS070278	rhizosphere metagenome	Pinus	2010-06	Iriomote	50	24.407 123.799
IRI_209_rbcL	SAMD00104864	DRS070279	rhizosphere metagenome	Ilex_1	2010-06	Iriomote	50	24.407 123.799
IRI_210_rbcL	SAMD00104865	DRS070280	rhizosphere metagenome	Toxicodendron_1	2010-06	Iriomote	50	24.407 123.799
IRI_211_rbcL	SAMD00104866	DRS070281	rhizosphere metagenome	Rhododendron	2010-06	Iriomote	50	24.407 123.799
IRI_212_rbcL	SAMD00104867	DRS070282	rhizosphere metagenome	Toxicodendron_1	2010-06	Iriomote	50	24.407 123.799
IRI_214_rbcL	SAMD00104868	DRS070283	rhizosphere metagenome	Pinus	2010-06	Iriomote	50	24.407 123.799
IRI_215_rbcL	SAMD00104869	DRS070284	rhizosphere metagenome	Dicranopteris	2010-06	Iriomote	50	24.407 123.799
IRI_217_rbcL	SAMD00104870	DRS070285	rhizosphere metagenome	Rhododendron	2010-06	Iriomote	50	24.407 123.799
IRI_218_rbcL	SAMD00104871	DRS070286	rhizosphere metagenome	Ilex_1	2010-06	Iriomote	50	24.407 123.799
IRI_220_rbcL	SAMD00104872	DRS070287	rhizosphere metagenome	Psychotria	2010-06	Iriomote	50	24.407 123.799
IRI_223_rbcL	SAMD00104873	DRS070288	rhizosphere metagenome	Rhododendron	2010-06	Iriomote	50	24.407 123.799
IRI_225_rbcL	SAMD00104874	DRS070289	rhizosphere metagenome	Rhododendron	2010-06	Iriomote	50	24.407 123.799
IRI_226_rbcL	SAMD00104875	DRS070290	rhizosphere metagenome	missing	2010-06	Iriomote	50	24.407 123.799
IRI_227_rbcL	SAMD00104876	DRS070291	rhizosphere metagenome	Toxicodendron_1	2010-06	Iriomote	50	24.407 123.799
IRI_229_rbcL	SAMD00104877	DRS070292	rhizosphere metagenome	Aster	2010-06	Iriomote	50	24.407 123.799
IRI_230_rbcL	SAMD00104878	DRS070293	rhizosphere metagenome	missing	2010-06	Iriomote	50	24.407 123.799
IRI_232_rbcL	SAMD00104879	DRS070294	rhizosphere metagenome	missing	2010-06	Iriomote	50	24.407 123.799
IRI_234_rbcL	SAMD00104880	DRS070295	rhizosphere metagenome	Aster	2010-06	Iriomote	50	24.407 123.799
IRI_235_rbcL	SAMD00104881	DRS070296	rhizosphere metagenome	Rhododendron	2010-06	Iriomote	50	24.407 123.799
